"","Est.","Std.Er","Est.","Std.Er","Est.","Std.Er"
"Intercept",2,0.024,1.46,0.029,2.42,0.02
"log(SVL)",0.25,0.048,0.18,0.058,0.21,0.041
"Sex",0.23,0.047,0.02,0.057,0.07,0.041
"log(SVL)*Sex",0.28,0.096,0.26,0.116,NA,NA
