180.30	0.000
180.67	0.000
181.03	-26.458
181.40	28.086
181.77	53.244
182.14	-35.848
182.51	913.512
182.88	112.128
183.25	110.074
183.62	-13.342
183.99	130.619
184.36	7847.634
184.73	215.573
185.10	-115.837
185.46	2002.097
185.83	-141.871
186.20	-65.425
186.57	-696.527
186.94	-345.715
187.31	-112.842
187.68	132.588
188.05	-179.941
188.42	-58.083
188.78	-18.518
189.15	530.381
189.52	-273.962
189.89	-106.486
190.26	-182.245
190.63	-50.840
191.00	-49.231
191.37	-25.331
191.73	-7.943
192.10	2.203
192.47	23.309
192.84	36.568
193.21	43.997
193.58	28.158
193.94	25.539
194.31	48.293
194.68	35.789
195.05	50.772
195.42	44.060
195.79	27.985
196.15	26.240
196.52	24.571
196.89	14.393
197.26	15.640
197.63	53.482
198.00	28.524
198.36	6.621
198.73	16.877
199.10	-22.860
199.47	-97.684
199.84	-148.899
200.20	-152.014
200.57	-126.146
200.94	-142.628
201.31	-98.430
201.68	-300.171
202.04	-102.211
202.41	-80.735
202.78	-63.736
203.15	-51.095
203.51	-41.254
203.88	-34.336
204.25	-25.480
204.62	-28.239
204.98	-28.653
205.35	-14.562
205.72	-7.620
206.09	-4.278
206.46	-0.899
206.82	-12.940
207.19	-25.270
207.56	-10.386
207.92	-2.784
208.29	-19.323
208.66	-16.608
209.03	-11.705
209.39	-8.946
209.76	-10.688
210.13	-15.871
210.50	-15.045
210.86	-22.181
211.23	10.101
211.60	19.202
211.96	6.369
212.33	23.649
212.70	28.131
213.07	40.217
213.43	36.572
213.80	37.447
214.17	37.343
214.53	36.958
214.90	35.149
215.27	23.853
215.63	14.301
216.00	15.167
216.37	11.641
216.74	4.846
217.10	-8.031
217.47	-0.232
217.84	-3.763
218.20	-5.434
218.57	-26.450
218.94	-24.029
219.30	-27.636
219.67	-14.605
220.04	-16.278
220.40	-14.571
220.77	-19.912
221.13	-24.148
221.50	-32.405
221.87	-25.354
222.23	-24.652
222.60	-11.597
222.97	-8.565
223.33	-8.218
223.70	-3.505
224.07	1.061
224.43	3.999
224.80	6.884
225.16	8.594
225.53	7.306
225.90	5.459
226.26	4.268
226.63	3.977
226.99	5.034
227.36	6.219
227.73	2.990
228.09	0.996
228.46	-0.544
228.82	-2.731
229.19	-2.868
229.56	-2.604
229.92	-4.323
230.29	-5.173
230.65	-5.327
231.02	-8.866
231.38	-9.281
231.75	-6.856
232.12	-3.599
232.48	-1.313
232.85	-0.218
233.21	0.114
233.58	2.095
233.94	4.915
234.31	5.551
234.68	4.342
235.04	6.697
235.41	6.701
235.77	3.877
236.14	0.021
236.50	0.426
236.87	1.247
237.23	0.927
237.60	-0.239
237.96	-0.025
238.33	-0.145
238.69	-0.698
239.06	-1.949
239.42	-2.980
239.79	-0.605
240.15	0.988
240.52	0.419
240.88	0.181
241.25	0.162
241.61	0.164
241.98	-0.161
242.34	0.015
242.71	0.486
243.07	1.128
243.44	2.032
243.80	2.054
244.17	2.105
244.53	2.176
244.90	2.193
245.26	2.365
245.63	2.441
245.99	2.278
246.36	2.386
246.72	2.817
247.09	3.055
247.45	3.273
247.81	3.161
248.18	3.150
248.54	3.066
248.91	3.311
249.27	3.302
249.64	3.244
250.00	3.927
250.36	4.269
250.73	4.054
251.09	3.611
251.46	3.065
251.82	3.319
252.19	3.385
252.55	3.463
252.91	3.826
253.28	3.686
253.64	3.607
254.01	3.274
254.37	3.336
254.73	2.993
255.10	3.290
255.46	3.424
255.83	3.402
256.19	3.045
256.55	2.870
256.92	2.797
257.28	2.846
257.65	2.878
258.01	3.020
258.37	2.831
258.74	2.963
259.10	2.917
259.46	2.748
259.83	2.506
260.19	2.564
260.55	2.864
260.92	2.703
261.28	2.546
261.64	2.497
262.01	2.122
262.37	2.061
262.73	1.739
263.10	1.976
263.46	2.487
263.82	2.754
264.19	2.715
264.55	2.404
264.91	2.569
265.28	2.769
265.64	3.013
266.00	3.315
266.37	3.261
266.73	3.302
267.09	2.877
267.46	2.792
267.82	2.544
268.18	2.494
268.54	2.216
268.91	2.236
269.27	2.298
269.63	2.146
270.00	1.967
270.36	2.084
270.72	2.075
271.08	2.356
271.45	2.141
271.81	2.273
272.17	2.242
272.53	2.614
272.90	2.639
273.26	2.296
273.62	2.192
273.98	2.123
274.35	2.063
274.71	2.077
275.07	1.679
275.43	1.817
275.80	1.903
276.16	1.860
276.52	1.838
276.88	1.722
277.25	2.150
277.61	2.070
277.97	2.115
278.33	1.864
278.69	2.021
279.06	2.141
279.42	1.786
279.78	1.864
280.14	2.101
280.50	2.126
280.87	2.123
281.23	1.933
281.59	1.948
281.95	2.181
282.31	2.333
282.68	2.303
283.04	2.642
283.40	2.834
283.76	2.735
284.12	2.871
284.48	2.797
284.85	2.743
285.21	2.803
285.57	3.097
285.93	2.975
286.29	2.946
286.65	2.975
287.02	2.697
287.38	2.848
287.74	2.720
288.10	2.715
288.46	2.536
288.82	2.583
289.18	2.559
289.54	2.463
289.91	2.424
290.27	2.587
290.63	2.505
290.99	2.505
291.35	2.294
291.71	2.325
292.07	2.212
292.43	2.595
292.79	2.509
293.16	2.477
293.52	2.277
293.88	2.235
294.24	2.292
294.60	2.416
294.96	2.566
295.32	2.633
295.68	2.779
296.04	2.735
296.40	2.597
296.76	2.716
297.12	2.729
297.49	2.899
297.85	2.858
298.21	2.823
298.57	2.678
298.93	2.604
299.29	2.425
299.65	2.471
300.01	2.472
300.37	2.503
300.73	2.674
301.09	2.785
301.45	2.758
301.81	2.944
302.17	2.834
302.53	2.957
302.89	2.966
303.25	2.993
