ColDate,Bag,ID,Time,PH,DBH,PDIAM,Sites ,Sex,Date ,Time,TempBF,Max.BF,HL,HW,HH,Horn L,Horn W,Crest H,Dewlap H,SVL,TotL,Tail,Mass
18/01/12,16,1,9.47,98,NA,2,1,f,18/01/12,15.12,27.6,6.4,16.78,10.81,9.98,5.25,2.68,4.41,9.48,5.9,16.8,10.9,6.3
18/01/12,17,2,10.5,0,NA,NA,1,f,19/01/12,8.4,24.9,8,22.61,12.97,14.82,7.08,3.78,4.25,13.19,8,21.1,13.1,13.7
18/01/12,18,3,11.1,112,16,16,1,f,18/01/12,15.05,27.5,6.8,18.64,11,9.74,6.48,4.33,6.29,10.98,6.9,17.7,10.8,7.5
18/01/12,20,4,11.33,160,25,25,2,m,18/01/12,NA,NA,NA,19.51,11.78,10.79,9.71,4.62,4.67,10.32,6.3,19.8,13.5,8.6
18/01/12,19,5,11.38,181,30,29,2,m,18/01/12,NA,NA,NA,19.86,10.81,10.63,9.08,3.37,4.75,13.21,7,19.6,12.6,7.8
18/01/12,9,6,11.38,221,30,22,2,f,18/01/12,15.28,29.7,6.95,17.31,11.99,10.96,6.96,4.31,7.3,11.91,6.4,17.9,11.5,8.6
18/01/12,11,7,11.45,117,NA,3,2,m,19/01/12,10.37,20.7,6.55,19.24,11.72,11.24,8.66,4.21,4.08,11.58,6.8,20.2,13.4,7.5
18/01/12,12,8,11.5,0,NA,NA,2,f,18/01/12,15.3,29.7,6.05,18.78,10.12,10.34,6.25,3.1,5.21,6.64,6.7,17.8,11.1,8.8
18/01/12,22,9,13.05,0,NA,NA,2,f,18/01/12,15.21,29.6,6.65,19.01,11.01,9.83,5.29,3.32,3.4,10.51,6.8,18.5,11.7,8.1
18/01/12,21,10,13.12,173,70,67,3,m,19/01/12,11.05,20.8,8,21.93,12.19,11.7,12.6,5.36,5.37,12.35,7.6,21.5,13.9,10.8
18/01/12,15,11,13.15,136,8,8,3,m,19/01/12,NA,NA,NA,21.82,11.94,11.52,8.66,4.52,4.34,12.06,7.1,18.9,11.8,10.3
18/01/12,26,12,13.35,131,10,10,2,m,19/01/12,10.41,22.6,4.7,16.58,10.1,9.37,6.91,3.67,4.73,7.76,6.3,17.7,11.4,5.6
18/01/12,25,13,13.5,0,NA,NA,1,f,18/01/12,15.26,29.5,8.15,18.38,9.96,9.92,4.68,3.16,6.44,8.82,6.9,16.9,10,8.3
19/01/12,16,14,1400,68,NA,2,NA,m,20/01/12,NA,21.7,10.8,19.82,11.99,10.79,8.54,3.8,3.98,12.04,6.5,18.5,12,8.5
20/01/12,19,15,1340,76,NA,7,4,m,20/01/12,NA,25.7,5.15,18.1,9.96,9.73,7.08,4.55,4.65,9.35,6.1,16.4,10.3,5.4
20/01/12,21,16,1030,53,32,30,2,m,20/01/12,NA,23.8,3.25,16.91,9.6,10.37,8.65,4.48,4.42,11.78,5.8,16.5,10.7,5.2
20/01/12,20,17,1110,0,NA,NA,1,f,20/01/12,NA,26.1,4.15,17.18,8.92,9.75,5.39,3.84,4.47,8.2,5.6,15.5,9.9,3.9
