wl,W_525,W_526,W_527,W_528,W_529,W_530,W_531,W_532,W_533,W_534,W_535,W_536,W_537,W_538,W_539,W_540,W_541,W_542,W_543,W_544,W_545,W_546,W_547,W_548,W_27,W_29,W_30,W_32,W_33,W_34,W_130,W_131,W_132,W_133,W_134,W_135,W_136,W_137,W_138,W_139,W_140,W_141
327,3.622038476,3.86299139,3.644633188,2.511863288,2.721701896,3.145557357,3.035607156,4.999947179,4.108650858,4.128159493,9.951061641,7.516005947,9.558621764,2.077775632,4.387296609,3.44866243,2.646978169,3.320564995,3.422319915,3.659702543,7.622220183,5.561059981,3.152817038,6.204334751,6.061281577,6.348658623,6.387637418,5.576727336,5.499511364,5.890551473,2.830895608,8.568977057,3.226577991,4.309265725,2.354758788,6.123710334,3.373968248,4.02147878,10.0807254,1.716253041,5.155389939,6.050827352
328,3.641260937,3.874101671,3.679045062,2.555383865,2.772958798,3.205173209,3.093489555,5.094852555,4.236507112,4.11560695,9.995014064,7.534654651,9.490225086,2.068064311,4.372604541,3.442870148,2.638649913,3.298602154,3.405804283,3.647455683,7.629839743,5.563652932,3.144655184,6.216991617,6.05149349,6.421569736,6.461373723,5.568893589,5.492690368,5.92880355,2.827940074,8.525885977,3.213041024,4.312328218,2.358178249,6.119197359,3.362978851,4.027513687,10.09095794,1.711398942,5.166820459,6.064976149
329,3.660164556,3.884555988,3.712320745,2.597468585,2.822552181,3.263523005,3.150725603,5.188666554,4.363804544,4.10221639,10.03779285,7.55226933,9.422131195,2.058163975,4.357124403,3.43632377,2.629896387,3.276389468,3.388649578,3.634256947,7.636409322,5.565759889,3.136115015,6.228848486,6.042294753,6.495573586,6.536271417,5.56157547,5.486311657,5.968231567,2.824137509,8.48293352,3.199141042,4.31424672,2.360273727,6.114055389,3.351067635,4.032312362,10.10033497,1.706391892,5.177568687,6.078310068
330,3.678686417,3.894316045,3.7443951,2.638063696,2.870422614,3.320502897,3.207187176,5.281185349,4.490194517,4.088094935,10.07944591,7.568896716,9.354344722,2.048132853,4.340961578,3.429109486,2.620777575,3.253990569,3.370933571,3.620189617,7.641986673,5.567418527,3.127278721,6.239975919,6.033541178,6.570380219,6.612054523,5.554802372,5.480400835,6.008551577,2.819557029,8.440150515,3.184926594,4.315105764,2.361150919,6.108406072,3.33831567,4.035951514,10.10889519,1.701271321,5.187693994,6.090899387
331,3.696763605,3.903343549,3.77520299,2.67711545,2.916510666,3.376009036,3.262746152,5.37220511,4.615328394,4.073349705,10.12002113,7.584583544,9.286870298,2.03802917,4.324221447,3.421313488,2.611353466,3.231469088,3.352734033,3.605336976,7.64662955,5.568666524,3.118228491,6.250444478,6.02508858,6.645699681,6.688447065,5.548603691,5.474983505,6.049479629,2.814267751,8.397567789,3.170446229,4.314989883,2.360915523,6.102371055,3.324804029,4.038507852,10.1166773,1.696076659,5.197255752,6.10281438
332,3.714333203,3.911600204,3.804679278,2.714570094,2.960756908,3.429937573,3.317274407,5.461522008,4.738857536,4.058087821,10.15956643,7.599376547,9.219712556,2.027911155,4.30700939,3.413021968,2.601684047,3.208888657,3.334128736,3.589782305,7.650395706,5.569541557,3.109046517,6.260324725,6.016792772,6.72124202,6.765173066,5.543008819,5.470085271,6.090731778,2.808338793,8.355216171,3.155748497,4.313983613,2.35967324,6.096071988,3.310613783,4.040058084,10.12372001,1.690847336,5.206313331,6.114125325
333,3.731332298,3.919047716,3.832758827,2.75037388,3.003101907,3.482184661,3.370643818,5.548932214,4.860433306,4.042416405,10.19812971,7.613322458,9.152876126,2.017837034,4.289430791,3.404321117,2.591829304,3.186312908,3.315195451,3.573608887,7.653342896,5.570081302,3.099814989,6.269687221,6.008509569,6.796717283,6.841956549,5.538047153,5.465731738,6.132024073,2.801839272,8.313126488,3.140881945,4.312171485,2.357529766,6.089630517,3.295826003,4.040678918,10.13006204,1.685622779,5.214926103,6.124902498
334,3.747697973,3.92564779,3.859376498,2.784473056,3.043486234,3.532646452,3.422726261,5.634231898,4.979707066,4.026442576,10.23575886,7.62646801,9.086365641,2.007865034,4.271591029,3.395297126,2.581849225,3.163805472,3.29601195,3.556900004,7.655528872,5.570323436,3.090616096,6.27860253,6.000094783,6.871835516,6.918521537,5.533748085,5.461948509,6.173072566,2.794838303,8.271329569,3.125895125,4.309638034,2.354590801,6.083168293,3.280521761,4.040447063,10.13574209,1.680442421,5.223153438,6.135216174
335,3.763367313,3.931362131,3.884467156,2.816813872,3.081850458,3.581219096,3.473393615,5.717217231,5.09633018,4.010273456,10.2725018,7.638859937,9.02018573,1.998053383,4.253595487,3.386036187,2.571803797,3.141429983,3.276656003,3.539738938,7.657011388,5.570305636,3.081532029,6.287141212,5.99140423,6.946306765,6.994592054,5.53014101,5.458761188,6.21359331,2.787405005,8.229856242,3.110836584,4.306467793,2.350962042,6.076806962,3.264782128,4.039439227,10.14079887,1.675345689,5.231054709,6.14513663
336,3.778277402,3.936152444,3.907965663,2.847342578,3.118135147,3.627798747,3.522517754,5.797684385,5.209954009,3.994016165,10.30840642,7.650544972,8.954341026,1.988460308,4.235549546,3.37662449,2.561753006,3.119250071,3.257205382,3.522208971,7.657848198,5.570065579,3.072644979,6.29537383,5.982293723,7.019841079,7.069892123,5.527255323,5.456195378,6.253302355,2.779608494,8.188737335,3.095754872,4.302745296,2.346749189,6.070668172,3.248688175,4.037732118,10.14527108,1.670372013,5.238689286,6.154734142
337,3.792365326,3.939980435,3.929806881,2.876005423,3.152280872,3.672281554,3.569970557,5.87542953,5.320229915,3.977777825,10.34352063,7.661569849,8.88883616,1.979144035,4.217558587,3.367148227,2.551756841,3.097329368,3.237737858,3.504393386,7.658097055,5.569640941,3.064037136,6.303370945,5.972619075,7.092148503,7.144145767,5.525120417,5.454276683,6.291915753,2.771517887,8.148003676,3.080698538,4.298555076,2.342057939,6.064873573,3.232320974,4.035402445,10.14919744,1.665560823,5.24611654,6.164078986
338,3.805568169,3.942807809,3.949925673,2.902748657,3.184228201,3.714563671,3.6156239,5.950248838,5.426809262,3.961665556,10.37789233,7.671981301,8.823675764,1.970162792,4.199727993,3.35769359,2.541875287,3.075731506,3.218331204,3.486375464,7.657815714,5.569069399,3.055790689,6.31120312,5.9622361,7.162939085,7.21707701,5.523765687,5.453030708,6.329149557,2.763202301,8.107686093,3.065716131,4.293981668,2.336993991,6.059544812,3.215761596,4.032526915,10.15261664,1.660951549,5.253395843,6.173241439
339,3.818924775,3.945339224,3.969570362,2.928752957,3.215236708,3.75653577,3.661636823,6.025562941,5.535417115,3.944327553,10.41100353,7.681208094,8.759076584,1.960815369,4.180718401,3.347120576,2.531389663,3.053645797,3.198039012,3.467052631,7.656390636,5.567981435,3.046966277,6.318020181,5.953663817,7.236715431,7.293116171,5.522599705,5.451942846,6.36951299,2.753835284,8.067416639,3.050162881,4.287833573,2.33007787,6.053194225,3.197982561,4.02811198,10.15524511,1.65609692,5.259810237,6.181371575
340,3.833299382,3.948156588,3.989766325,2.954976814,3.246330953,3.799753964,3.709798648,6.104207848,5.650807609,3.924616516,10.44240925,7.688764428,8.69520127,1.95050567,4.15939355,3.334465398,2.51968713,3.030384956,3.176054198,3.445490498,7.653290701,5.566054746,3.036758668,6.32309666,5.948985469,7.317242733,7.375957029,5.521141921,5.450594851,6.416768869,2.742709603,8.026881225,3.033494708,4.279107843,2.320063419,6.044557304,3.178109767,4.021315341,10.15682457,1.650613759,5.264748057,6.187744388
341,3.848367169,3.951037482,4.010114011,2.981033203,3.27709899,3.843612559,3.75942667,6.18510279,5.771175711,3.902946326,10.47226694,7.694825195,8.631973305,1.939449594,4.136163472,3.320078572,2.506986444,3.006197721,3.15266351,3.422024619,7.648697287,5.563397827,3.025451254,6.326690174,5.947403205,7.403124915,7.464218797,5.519588045,5.449156862,6.469513635,2.7300732,7.986191465,3.015911201,4.268171842,2.307406315,6.034090429,3.15645436,4.012440583,10.15743167,1.644637631,5.268426611,6.192617535
342,3.863803314,3.953759488,4.030213865,3.006535096,3.30712887,3.887505867,3.809838186,6.267167001,5.894716386,3.879730861,10.500734,7.699565282,8.569316174,1.92786304,4.111438198,3.304310612,2.493506359,2.981332829,3.1281537,3.396990553,7.64279177,5.560119177,3.013327425,6.329058341,5.948119173,7.4929659,7.556520688,5.518133788,5.447799021,6.526343726,2.716174021,7.945458974,2.997611947,4.25539293,2.292562236,6.022249982,3.13332748,4.001791295,10.15714309,1.6383041,5.271063209,6.196248673
343,3.879282995,3.956100185,4.049666334,3.031095467,3.336008646,3.930828193,3.86035049,6.34931971,6.019624597,3.855384002,10.52796788,7.703159579,8.507153361,1.915961908,4.085627759,3.287512033,2.479465629,2.956039019,3.102811517,3.370723854,7.63575553,5.556327291,3.000670572,6.330458779,5.950335523,7.585369612,7.651481913,5.516974861,5.44669147,6.585855581,2.701260009,7.904795368,2.978796535,4.24113847,2.275986859,6.009492344,3.109040272,3.98967106,10.15603549,1.631748732,5.272875158,6.198895461
344,3.894481391,3.957837156,4.068071865,3.054327289,3.363326371,3.972973848,3.910280879,6.43048015,6.144095312,3.830319626,10.554126,7.705782975,8.44540835,1.903962095,4.059142187,3.270033349,2.46508301,2.930565026,3.076923712,3.343560081,7.627769942,5.552130667,2.987764084,6.331149105,5.953254403,7.678939974,7.747721687,5.516306974,5.446004348,6.646645639,2.685579109,7.864312262,2.959664554,4.225775823,2.258135861,5.996273896,3.083903879,3.976383466,10.15418554,1.625107093,5.274079769,6.200815554
345,3.90907368,3.95874798,4.085030905,3.075843536,3.388670096,4.01333714,3.958946649,6.509567552,6.266323495,3.804951615,10.57936578,7.70761036,8.384004625,1.892079502,4.032391513,3.252225076,2.450577257,2.90515959,3.050777034,3.315834788,7.619016385,5.5476378,2.974891352,6.331386938,5.956077963,7.772280911,7.84385922,5.516325839,5.445907797,6.70731034,2.669379264,7.824121271,2.94041559,4.209672351,2.239464919,5.983051021,3.058229443,3.962232099,10.15166991,1.618514746,5.27489435,6.202266611
346,3.922735039,3.95861024,4.100143901,3.09525718,3.411627874,4.051312376,4.005665096,6.585501149,6.384504111,3.779693847,10.60384466,7.708816622,8.322865671,1.880530028,4.005785768,3.234437728,2.436167123,2.880071447,3.024658235,3.287883533,7.609676236,5.542957189,2.962335767,6.331429895,5.958008351,7.863996346,7.938513727,5.517227165,5.446571959,6.766446123,2.652908418,7.78433401,2.921249232,4.193195416,2.22042971,5.970280099,3.032328108,3.947520544,10.14856526,1.612107259,5.27553621,6.203506288
347,3.935140647,3.957201516,4.1130113,3.112181196,3.431787758,4.086293867,4.049753516,6.657200171,6.496832125,3.754960202,10.62772006,7.709576651,8.261914971,1.86952957,3.979734984,3.217021819,2.422071365,2.855549335,2.998854065,3.260041872,7.599930873,5.538197329,2.950380719,6.331535593,5.958247718,7.952690202,8.030304419,5.519206664,5.448166973,6.822649427,2.636414516,7.745062094,2.902365068,4.176712379,2.201485912,5.958417512,3.006511017,3.932552388,10.14494826,1.606020194,5.276222658,6.204792243
348,3.945965683,3.95429939,4.123233548,3.126228557,3.448737799,4.11767592,4.090529204,6.723583852,6.601502504,3.731164559,10.65114941,7.710065336,8.201076011,1.85929403,3.954649191,3.200327865,2.408508736,2.831841993,2.973651273,3.232645361,7.589961674,5.533466718,2.939309599,6.331961651,5.955998211,8.036966404,8.117850509,5.522460047,5.450862982,6.874516692,2.620145502,7.706417138,2.883962687,4.160590602,2.183089202,5.94791964,2.981089312,3.917631218,10.14089558,1.600389119,5.277171002,6.206382133
349,3.954885324,3.949681441,4.130411092,3.137012236,3.462066051,4.144852844,4.127309457,6.783571422,6.696710211,3.708720798,10.67429014,7.710457566,8.140272273,1.850039305,3.930938422,3.184706381,2.395697991,2.809198156,2.949336609,3.206029557,7.579950015,5.528873852,2.929405796,6.332965687,5.95046198,8.115428874,8.19977121,5.527183024,5.454830125,6.920644356,2.604349319,7.668510758,2.866241676,4.145197448,2.165695256,5.939242866,2.956374138,3.903060618,10.13648388,1.595349598,5.278598552,6.208533615
350,3.961574748,3.943125252,4.134144379,3.144145206,3.471360565,4.167218947,4.15941157,6.836082113,6.780650213,3.688042798,10.69729968,7.71092823,8.079427243,1.841981294,3.909012708,3.170507881,2.383857885,2.787866563,2.926196825,3.180530016,7.570077274,5.524527229,2.920952702,6.334805317,5.940841173,8.186681538,8.274685735,5.533571306,5.460238544,6.95962886,2.589273912,7.631454569,2.849401623,4.130900277,2.149759753,5.93284357,2.932676637,3.889144176,10.13178982,1.591037196,5.280722617,6.211504346
351,3.964886921,3.932722671,4.131791414,3.144532071,3.473179698,4.182041253,4.185271495,6.878503396,6.852314962,3.667939895,10.71896318,7.710142417,8.017636264,1.834704035,3.887689045,3.156629875,2.372292407,2.767269649,2.903075131,3.15445129,7.558711174,5.519603914,2.913305891,6.336425344,5.925969428,8.252029995,8.343877473,5.5422753,5.467643215,6.991896806,2.573410993,7.594919042,2.832665254,4.115958413,2.133224541,5.927931121,2.908368156,3.873972105,10.12544169,1.58716898,5.282650914,6.214234644
352,3.964305143,3.917269465,4.121782263,3.136243068,3.465358579,4.187902023,4.204441827,6.910024171,6.912891295,3.647059915,10.73818887,7.706899122,7.954293688,1.827657907,3.865625321,3.141856495,2.360236034,2.746699534,2.878782431,3.12614369,7.544416257,5.513361035,2.905666283,6.336745528,5.905825382,8.313978957,8.409814618,5.553577402,5.477281688,7.019293935,2.555347006,7.558532416,2.815227914,4.098655125,2.114036568,5.923410439,2.881875782,3.855767517,10.11631405,1.583382259,5.283470595,6.215640876
