"","ID","Sex","HL","HW","HH","Horn.L","Horn.W","Crest.H","Dewlap.H","SVL","TotL","Tail","Mass","condition","LSVL","LHorn.L","LCrest.H","LDewlap.H","LHW","LHH","LHL"
"38",39,"f",20.79,12.21,11.79,8.55,4.3,3.58,14.09,7.3,20.5,13.2,10.2,-0.00650101153072906,1.98787434815435,2.14593128294867,1.27536280041261,2.64546532591059,2.50225528812261,2.46725171454928,3.03447210186992
"39",40,"m",19.47,11.5,10.04,9.35,4.22,4.2,9.69,6.4,19.8,13.4,8.4,0.178155760218111,1.85629799036563,2.2353763433006,1.43508452528932,2.27109442590267,2.4423470353692,2.30657711426358,2.96887481938411
"40",41,"m",18.04,10.94,11.41,8.25,3.08,3.79,10.43,6.6,19.3,12.7,5.9,-0.263716241233929,1.88706964903238,2.11021320034659,1.33236601909433,2.34468626901268,2.39242579699384,2.43449016387398,2.89259151463448
"41",42,"f",21.55,11.82,11.58,6.6,3.14,6.68,11.39,7.1,18.8,11.7,11.6,0.202094671325749,1.96009478404727,1.88706964903238,1.89911798754855,2.43273577745909,2.46979301197795,2.44927947214485,3.07037581654976
"42",43,"m",19.94,11.85,11.39,8.96,3.96,4.73,12.84,6.6,19.1,12.5,8.4,0.0895631137036647,1.88706964903238,2.19277022698684,1.55392520250384,2.55256529826182,2.47232786758114,2.43273577745909,2.99272776453369
"43",44,"f",19.16,11.54,11.58,5.97,2.9,4.47,10.72,6.8,18.8,12,10.8,0.254929850949444,1.91692261218206,1.78674692740451,1.49738840862548,2.37211115564266,2.44581926107995,2.44927947214485,2.95282477254271
"44",45,"f",23.41,13.1,13.06,7.28,3.82,5.98,11.13,8.1,22.2,14.1,14.4,0.0389495708515253,2.09186406167839,1.98513086220859,1.78842056796254,2.40964416528745,2.57261223020711,2.56955412384829,3.15316328150282
"45",46,"m",20.3,10.89,10.56,8.01,3.87,4.49,13.26,7.1,18.9,11.8,8.7,-0.0855874011260325,1.96009478404727,2.08069076108027,1.50185270175416,2.58475198475772,2.38784493694487,2.35707327827812,3.01062088604774
"46",47,"f",17.28,10.6,9.35,4.87,2.81,4.97,12.08,6.4,16.5,10.1,8.2,0.15405820863905,1.85629799036563,1.5830939370945,1.60341984010854,2.49155119250667,2.36085400111802,2.2353763433006,2.84954976337591
"47",48,"m",23.25,13.59,11.6,10.99,4.74,5.51,15.44,7.6,22.2,14.6,10.6,-0.0839846490588414,2.02814824729229,2.39698576841553,1.70656462316482,2.73696154459663,2.60933422816305,2.45100509811232,3.14630513203337
"48",49,"f",21.3,13.12,11.58,7.01,3.59,3.38,14.81,7.4,20.4,13,10.9,0.0207029247745351,2.00148000021012,1.9473377010465,1.21787570949493,2.69530262827971,2.57413778351594,2.44927947214485,3.05870707271538
"49",50,"m",23.28,12.98,11.53,9.42,3.78,6.3,17.39,7.6,21.6,14,10.9,-0.0560758609417649,2.02814824729229,2.24283508858827,1.84054963339749,2.85589532836619,2.56340971127594,2.44495233428097,3.14759462286324
"50",51,"f",15.65,11.49,9.33,5.37,2.73,3.69,8.62,5.7,15.2,9.5,4.5,-0.112514832586093,1.7404661748405,1.68082790852077,1.30562645805244,2.1540850846756,2.44147709186066,2.23323501485925,2.75047091698616
"51",52,"f",19.8,12.03,13.11,6.81,3.32,5.38,16.81,7,18.8,11.8,12.6,0.325624431274626,1.94591014905531,1.91839212016142,1.68268837417369,2.82197394742052,2.48740352998659,2.57337529777561,2.98568193770049
"52",53,"f",17.12,9.93,9.46,14.24,1.47,2.24,10.47,6.7,18.2,11.5,9.1,0.12631126361182,1.90210752639692,2.65605490598383,0.806475865866949,2.34851402488245,2.29556047805708,2.24707238306379,2.8402473707136
"53",54,"f",19.49,10.75,10.4,7.04,3.6,4.6,13.77,6.2,17.6,11.4,5.6,-0.135903771169669,1.82454929205105,1.95160817016995,1.52605630349505,2.62249231274056,2.37490575457367,2.34180580614733,2.96990151351947
"54",55,"m",15.53,7.65,8.54,5.37,3.08,2.57,11.28,5,14,9,3.3,-0.0454349598515857,1.6094379124341,1.68082790852077,0.943905898907128,2.42303124606991,2.03470564783844,2.14476100780048,2.7427736371606
"55",56,"m",15.27,7.76,7.37,3.8,1.19,1.5,8.9,5.2,14,8.8,4.2,0.0828093366956141,1.64865862558738,1.33500106673234,0.405465108108164,2.18605127673809,2.04898233419513,1.99741770620125,2.72589011923054
"56",57,"m",20.6,12.5,10.83,7.93,4.37,4.84,13.96,7.4,20.2,12.8,9,-0.170835287124343,2.00148000021012,2.07065303564676,1.57691472072854,2.63619609733423,2.52572864430826,2.3823200610129,3.02529107579554
"57",58,"f",20.87,10.97,10.03,4.99,3.64,2.75,11.07,7.4,20.1,12.7,13.5,0.234629820983821,2.00148000021012,1.60743590976343,1.01160091167848,2.40423874672055,2.39516427428714,2.30558060197384,3.03831272108911
"58",59,"f",18.06,11.45,9.73,5.06,2.31,3.91,11.49,6.6,17.8,11.2,8.2,0.0654655621246043,1.88706964903238,1.62136648329937,1.36353737399727,2.44147709186066,2.43798973000025,2.27521389619791,2.89369954798884
"59",60,"m",21.37,12.35,11.05,9.52,4.7,5.01,12.6,7.3,20.7,13.4,10,-0.0263036388269084,1.98787434815435,2.25339484880327,1.61143591509677,2.53369681395743,2.51365606307399,2.40243042796376,3.06198806933106
"60",61,"m",20.12,10.99,10.73,8.81,4.53,3.77,17.09,6.6,18.3,11.7,7,-0.09275844309029,1.88706964903238,2.17588743994809,1.32707500145992,2.8384934971275,2.39698576841553,2.37304355664261,3.00171434523154
"61",62,"m",19.77,11.27,11.34,8.64,3.9,4.01,12.2,6.7,19.4,12.7,7.3,-0.0940888017566389,1.90210752639692,2.15640258281596,1.38879124131848,2.50143595173921,2.42214432805168,2.42833629829961,2.98416563718253
"62",63,"f",19.07,11.58,11.41,6.39,3.44,3.91,9.77,6.1,17,10.9,7.6,0.216292468174517,1.80828877117927,1.85473426838944,1.36353737399727,2.27931646605469,2.44927947214485,2.43449016387398,2.94811641961233
"63",64,"f",18.27,10.66,11.24,6.12,3.57,4.25,11.87,5.8,15.8,10,6.1,0.14162512606941,1.75785791755237,1.81156209652423,1.44691898293633,2.47401420862158,2.3664984187377,2.41947884446554,2.90526037038992
