wl,F001,F003,F006,F008,F009,F013,F017,F021,F023,F024,F028,F030,F032,F036,F039,F042,F044,F045,F047,F049,F052,F053,F054,F058,F059,F063,F064,M004,M005,M010,M011,M012,M014,M015,M016,M018,M019,M020,M022,M025,M026,M029,M031,M033,M034,M037,M038,M040,M041,M043,M046,M048,M050,M055,M056,M057,M060,M061,M062
323,3.518116283,4.273954243,4.097376712,4.950997288,3.904872512,4.273954243,6.516628285,6.320389298,7.266778541,6.186102173,4.570197958,4.405915857,4.404972139,2.919570939,3.538407889,3.753102689,3.509463166,3.77100153,4.495604844,4.767063767,3.73696212,3.634829562,3.495556065,3.042143929,3.103696395,3.597593268,3.918539334,3.046650545,5.073271162,4.760127465,3.12610411,3.361701926,4.345911591,5.351683255,7.209258651,3.94188197,9.543573213,5.301574015,7.631845758,6.056215401,5.754921171,3.997270175,5.745478069,2.782030184,5.080783333,3.903185091,3.822933889,4.305268708,4.774747083,5.137508966,3.409112756,2.975795733,4.609499176,6.671229181,5.135877864,5.559201394,3.730481904,3.930062213,3.077803553
324,3.523974081,4.287161836,4.099559384,4.918987858,3.899446474,4.287161836,6.550101029,6.33304267,7.455366875,6.256960421,4.578221217,4.413816183,4.406586404,2.918105903,3.548656094,3.754173377,3.523015236,3.778114036,4.560473848,4.769451608,3.746720578,3.626540108,3.506643406,3.03308222,3.097585671,3.612782529,3.933757438,3.049582616,5.153355758,4.765842347,3.154305379,3.38932537,4.375001779,5.457697619,7.38942056,3.951224956,9.770156218,5.316308709,7.708935723,6.171864265,5.838409614,4.01623503,5.843084859,2.753583855,5.182513033,3.890255124,3.797663574,4.348978411,4.847931445,5.222860596,3.43197372,2.963025375,4.634604903,6.80101982,5.23944584,5.694430072,3.757190112,3.94032547,3.090817157
325,3.529804574,4.299463551,4.101927338,4.887242785,3.89421217,4.299463551,6.581315812,6.344161937,7.640220438,6.324724866,4.585388623,4.4210834,4.407827904,2.916584197,3.558605817,3.755034015,3.536347125,3.785389651,4.624833073,4.771832937,3.756207371,3.617984049,3.51679961,3.024357938,3.091860499,3.62787878,3.948311483,3.053625659,5.232508004,4.772699036,3.182299768,3.416560583,4.403722258,5.561041129,7.566044428,3.960401667,9.991205842,5.330519148,7.783441336,6.285600984,5.921488248,4.035336295,5.939419663,2.726368941,5.284085037,3.878307533,3.773317056,4.392257474,4.920621051,5.30762617,3.454737685,2.951540357,4.658712713,6.92863142,5.341194206,5.828094613,3.784240668,3.950425054,3.103591576
326,3.535936455,4.31055586,4.104997985,4.855767899,3.88921111,4.31055586,6.609308768,6.35272751,7.826678547,6.390054949,4.591816811,4.42636747,4.408997748,2.914385605,3.568560824,3.755665443,3.54961865,3.793012073,4.691396333,4.774261562,3.765504493,3.608783395,3.525518951,3.016640058,3.086577207,3.64370235,3.96226662,3.060420283,5.311937816,4.782679834,3.209783896,3.444804192,4.432325969,5.664393714,7.744699369,3.969214193,10.21362633,5.344113078,7.856754387,6.400331565,6.006628567,4.054229076,6.037404803,2.699292354,5.390009206,3.868341006,3.750624277,4.436114977,4.994774547,5.394262129,3.478045319,2.942994883,4.682221148,7.058160716,5.44378086,5.96453893,3.812223607,3.961042151,3.116180581
327,3.542639066,4.320195036,4.109217953,4.824586717,3.884499679,4.320195036,6.633256188,6.357892516,8.019194419,6.453492434,4.597555463,4.428533756,4.41033064,2.910997885,3.578757501,3.756049202,3.562962274,3.801138292,4.762412915,4.776783938,3.774670869,3.598623216,3.532368093,3.010490005,3.081797948,3.660936975,3.975671031,3.07136946,5.392653609,4.797488349,3.236501268,3.475245658,4.461024703,5.769963871,7.930033329,3.97749755,10.44311971,5.357008841,7.93001889,6.51846122,6.095897461,4.072642358,6.13942067,2.671469877,5.504114619,3.861210347,3.730218349,4.481381503,5.072014459,5.484806088,3.502437183,2.938782109,4.705448255,7.192998421,5.549400441,6.107383476,3.84164546,3.972734272,3.128635829
328,3.549810101,4.328471444,4.114444024,4.793711179,3.880087449,4.328471444,6.653441441,6.359974464,8.216158885,6.514834855,4.602536032,4.427988456,4.411723099,2.906613145,3.589094328,3.756190805,3.576329204,3.809717868,4.837053537,4.779388,3.783672475,3.587614806,3.537493508,3.005708447,3.077517159,3.679334357,3.988501236,3.086003087,5.474287239,4.816560456,3.262535005,3.507483086,4.489742746,5.876923465,8.120362425,3.985311355,10.6775645,5.369234733,8.002808985,6.63910496,6.188552375,4.090693288,6.244548401,2.643258932,5.625081814,3.856626224,3.711894488,4.527744098,5.151748369,5.578508043,3.527723388,2.938406473,4.728266596,7.331890628,5.657232507,6.255312759,3.87233693,3.985287182,3.140946911
329,3.557347256,4.335475446,4.120532979,4.763153225,3.875983992,4.335475446,6.670147896,6.359290864,8.415962781,6.573879748,4.606689969,4.425137769,4.413071645,2.901423491,3.599469787,3.756095764,3.58967065,3.818700356,4.914488916,4.78206168,3.792475283,3.575869457,3.54104167,3.002096052,3.073729276,3.698646198,4.000733754,3.103851064,5.556470563,4.839332031,3.287968226,3.541114579,4.518404386,5.98444436,8.314002775,3.992715225,10.91483921,5.380819051,8.074698813,6.761377797,6.283850756,4.108499013,6.351869137,2.615016942,5.751591334,3.854299305,3.695447911,4.574889809,5.233383863,5.674617992,3.55371405,2.941372415,4.750548733,7.473583432,5.766456618,6.407011286,3.904128719,3.998486645,3.153103419
330,3.565148226,4.341297406,4.127341599,4.732924796,3.872198882,4.341297406,6.683658919,6.356159224,8.61699694,6.630424648,4.609948725,4.420387897,4.414272796,2.895621031,3.609782359,3.755769592,3.602937822,3.828035315,4.993889769,4.784792914,3.801045268,3.563498464,3.543159051,2.99945349,3.070428736,3.718624202,4.012345106,3.12444329,5.638835437,4.865238948,3.312884052,3.57573824,4.54693391,6.091698423,8.509270494,3.999768778,11.15282235,5.391790093,8.145262515,6.884394739,6.38105005,4.126176682,6.460464015,2.58710133,5.88232372,3.853940256,3.680673835,4.622505682,5.316328523,5.77238593,3.58021928,2.947184376,4.77216723,7.616822927,5.876252334,6.561163565,3.936851531,4.012118425,3.165094942
331,3.573110706,4.346027687,4.134726667,4.703037831,3.868741692,4.346027687,6.69425788,6.350897053,8.817652195,6.684267089,4.612243751,4.414145037,4.415223072,2.889397873,3.619930526,3.755217803,3.616081929,3.837672302,5.074426814,4.787569633,3.809348404,3.550613119,3.543992126,2.997581428,3.067609977,3.739020068,4.02331181,3.147309665,5.721013717,4.893717085,3.337365604,3.610952173,4.575255605,6.197857517,8.704481699,4.006531631,11.38939243,5.402176157,8.214074232,7.007270799,6.479407703,4.143843441,6.569414174,2.559869518,6.015959511,3.855259744,3.667367477,4.670278764,5.399989934,5.871061855,3.607049192,2.955346794,4.792994647,7.760355207,5.985799214,6.716454101,3.970336069,4.025968287,3.176911074
332,3.581132391,4.349756654,4.142544963,4.67350427,3.865621993,4.349756654,6.702228145,6.343821858,9.01631938,6.735204607,4.613506498,4.406815391,4.415818992,2.882946125,3.629812769,3.75444591,3.629054178,3.847560875,5.155270769,4.790379773,3.817350666,3.537324716,3.543687367,2.996280535,3.065267433,3.759585501,4.033610387,3.171980087,5.802637259,4.924202315,3.361496,3.646354481,4.603293759,6.302093506,8.897952508,4.013063402,11.62242796,5.412005539,8.280708105,7.129120987,6.57818116,4.161616438,6.677800753,2.53367893,6.15117925,3.857968438,3.655324052,4.717896101,5.48377568,5.969895764,3.6340139,2.965364111,4.812903549,7.902926365,6.094276818,6.871567404,4.004413036,4.039821995,3.188541405
333,3.589110976,4.352574669,4.150653269,4.644336053,3.862849359,4.352574669,6.707853084,6.33525115,9.211389329,6.783034737,4.613668419,4.398805156,4.415957077,2.876457894,3.639327569,3.753459424,3.641805781,3.85765059,5.23559235,4.793211266,3.825018027,3.52374455,3.542391248,2.99535148,3.063395543,3.780072201,4.043217355,3.197984457,5.883337919,4.956130514,3.385358363,3.681543269,4.630972658,6.403578257,9.087999036,4.019423708,11.84980744,5.421306538,8.344738274,7.249060313,6.676627868,4.17961282,6.78470489,2.508886988,6.286663476,3.861777004,3.644338779,4.76504474,5.567093344,6.068137654,3.660923517,2.976740765,4.831766497,8.043282497,6.200864706,7.025187979,4.038913135,4.053465313,3.199975526
334,3.596944157,4.354572096,4.158908367,4.615545121,3.860433363,4.354572096,6.711416064,6.325502437,9.401252876,6.827555013,4.612660963,4.390520534,4.415533844,2.870125287,3.648373408,3.75226386,3.654287944,3.867891005,5.314562275,4.796052047,3.832316462,3.509983912,3.540250242,2.994594932,3.061988743,3.800231872,4.052109235,3.224852672,5.962747554,4.988937559,3.409035811,3.716116639,4.65821659,6.501483632,9.272937402,4.025672167,12.06940939,5.43010745,8.40573888,7.366203788,6.774005272,4.197949734,6.889207725,2.485851115,6.421092731,3.866396109,3.634206873,4.811411727,5.64935051,6.165037522,3.687588156,2.988981196,4.849456054,8.180169696,6.304742438,7.176000334,4.07366707,4.066684005,3.211203028
335,3.604529628,4.355839299,4.167167039,4.587143413,3.858383577,4.355839299,6.713200452,6.314893226,9.584300854,6.868562971,4.610415582,4.382367722,4.414445814,2.864140413,3.656848768,3.75086473,3.666451879,3.878231678,5.391351261,4.798890049,3.839211945,3.496154097,3.537410822,2.993811558,3.06104147,3.819816215,4.060262546,3.252114633,6.040498019,5.022059324,3.432611466,3.749672696,4.684949842,6.594981498,9.45108372,4.031868395,12.27911232,5.438436573,8.463284063,7.479666423,6.869570819,4.216744328,6.990390396,2.464928734,6.553147556,3.871536422,3.624723551,4.856684108,5.729954762,6.259845363,3.71381793,3.001589845,4.865844782,8.312334056,6.405089572,7.322688977,4.108505542,4.079263837,3.222213503
336,3.611765085,4.356466641,4.175286065,4.55914287,3.856709574,4.356466641,6.713489618,6.303741028,9.758924096,6.905856146,4.606863727,4.374752922,4.412589506,2.858695378,3.664652129,3.749267547,3.678248793,3.888622166,5.465130027,4.801713206,3.84567045,3.482366398,3.534019461,2.992802027,3.06054816,3.838576933,4.067653807,3.279300238,6.116221172,5.054931684,3.456168447,3.781809543,4.711096702,6.683243719,9.620754109,4.038072011,12.47679473,5.446322205,8.516947966,7.588563228,6.962581954,4.236113748,7.087334041,2.446477267,6.681508492,3.876908609,3.61568403,4.900548931,5.808313685,6.351811176,3.739422952,3.014071151,4.880805243,8.438521671,6.50108567,7.463938415,4.143259257,4.090990572,3.232996542
